DATE,WM2NS
2023-01-16,21361.7
2023-01-23,21215.4
2023-01-30,21123.5
2023-02-06,21194.5
2023-02-13,21127.7
2023-02-20,21119.1
2023-02-27,21115.1
2023-03-06,21162.5
2023-03-13,21158.1
2023-03-20,21021.4
2023-03-27,20894.2
2023-04-03,20950.9
2023-04-10,21047.6
2023-04-17,20968.6
2023-04-24,20687.1
2023-05-01,20648.7
2023-05-08,20712.2
2023-05-15,20706.9
2023-05-22,20687.5
2023-05-29,20745.5
2023-06-05,20848.0
2023-06-12,20773.2
2023-06-19,20741.1
2023-06-26,20668.4
2023-07-03,20765.9
2023-07-10,20778.0
2023-07-17,20767.0
2023-07-24,20654.5
2023-07-31,20695.8
2023-08-07,20748.5
2023-08-14,20726.2
2023-08-21,20664.9
2023-08-28,20636.4
2023-09-04,20719.1
2023-09-11,20714.3
2023-09-18,20683.1
2023-09-25,20577.3
2023-10-02,20672.0
2023-10-09,20667.4
2023-10-16,20718.7
2023-10-23,20555.9
2023-10-30,20551.5
2023-11-06,20666.1
2023-11-13,20665.4
2023-11-20,20716.5
2023-11-27,20706.5
2023-12-04,20804.8
2023-12-11,20800.7
2023-12-18,20872.9
2023-12-25,20898.9
2024-01-01,20881.0
